,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68
0003,154524,461481,209815,763240,407293,1374713,1714383,1755882,717043,1721338,1337737,2692539,210595,540894,263516,121425,248312,461112,207651,1717409,814610,331836,673642,1238314,19722,1633671,264439,698295,138817,761079,599625,316689,195605,204538,1740830,408576,1482926,1189333,2084411,211338,1018891,266751,495894,248118,1754760,156737,348819,256610,181319,196307,180395,686730,204700,65011,683543,407852,983081,1403420,590786,206993,85079,793391,490324,-1,490324,58605,1373525,157875
0004,21600,33362,347452,1658481,497645,85327,928335,44676,91075,147415,1326509,24204,29543,28137,105227,857222,1320913,1837973,91474,491465,141300,1664654,90159,600343,1313831,1121071,1190855,854641,1576385,595591,1668100,496838,273196,343527,928336,1838109,149353,145366,-1,145366,362574,342438,932442,1331059,362574,342438,932442,241754,341464,193752,852440,491456,1320774,1660506,183997,491955,896900,1349540,488203,89273,232590,877493,527059,-1,527059,140760,1317614,152487
0006,38912,40176,401665,1712694,551858,35632,982548,41219,145288,143958,1380722,38986,31575,32031,55532,911436,1375126,1834516,41779,488008,137843,1718867,144372,654556,1368044,1175284,1187398,908854,1630599,649804,1722313,551051,327409,397740,982549,1834652,203567,141909,-1,141909,359117,396651,986655,1385273,359117,396651,986655,273949,395677,237162,906653,487999,1374987,1714719,183652,488498,951114,1403754,542416,39578,229133,874037,581272,-1,581272,137303,1371828,157908
0008,10523,12296,371012,1682041,521205,66869,951895,22064,114635,124802,1350069,16475,6202,4794,86768,880783,1344473,1815361,73015,468853,118688,1688215,113719,623904,1337391,1144631,1168242,878202,1599946,619152,1691660,520398,296756,367088,951897,1815496,172914,122753,-1,122753,339962,365999,956002,1354620,339962,365999,956002,254793,365025,218006,876001,468843,1344335,1684066,181736,469342,920461,1373101,511763,70814,209978,854881,550620,-1,550620,118148,1341175,154843
0010,1141236,1152998,806766,543941,628942,1208290,194282,1164312,1031970,1166387,211969,1140216,1149179,1147773,1228189,538015,206373,1046058,1214436,911110,1174086,550114,1042375,521890,199291,1285,860405,543399,461845,534275,553560,631742,913281,811052,193762,1046194,972743,1167679,-1,1167679,1185896,812795,191298,277846,1185896,812795,191298,968603,812007,1008989,543037,911119,206234,545966,104806,911309,224228,235000,639421,1212235,1310374,887966,739213,-1,739213,1171105,203074,41033
0011,8596,20359,360051,1671081,510244,72341,940935,31672,103674,134411,1339109,8271,16556,15150,92240,869822,1333512,1824970,78487,478461,128296,1677254,102758,612943,1326430,1133670,1177851,867241,1588985,608191,1680699,509437,285796,356127,940936,1825105,161953,132362,-1,132362,349570,355038,945041,1343659,349570,355038,945041,254354,354064,206352,865040,478452,1333374,1673106,182697,478951,909500,1362140,500802,76286,219587,864490,539659,-1,539659,127756,1330214,153747
0013,1098,362596,220473,875731,471243,1341907,1681637,1819832,651996,1688591,1251855,2659792,58675,561787,111596,40698,96392,363544,55731,1684662,927101,179915,737592,1350806,153892,1697621,328389,782228,202767,873571,518175,164769,65152,341482,1685106,289834,1450180,1103451,2148360,221996,953844,114831,559844,96197,1818710,83100,364089,256991,29399,44387,49941,621683,74247,160265,618496,471802,918034,1370674,509336,76540,212437,857341,548193,-1,548193,120607,1338748,154600
0016,10476,372183,210541,817258,461311,1351494,1691224,1809900,661583,1698178,1261442,2669379,68262,571374,121183,30767,105979,373131,65318,1694249,868628,189502,727661,1292333,143961,1687689,318457,772296,192835,815098,527763,174356,76662,331551,1694693,299421,1459767,1113038,2138429,212065,963431,124418,549912,105785,1808779,80289,373676,247060,38986,53974,61452,631270,85758,150334,628083,461870,927621,1380261,518923,88050,212511,847409,557780,-1,557780,110676,1348335,155559
0017,12307,366020,218316,879155,485678,1345330,1685060,1834267,655419,1692015,1255278,2663216,62098,565210,115019,55134,99815,366968,59154,1688086,930525,183339,752028,1354229,168328,1712056,342824,796663,217202,876994,521599,168192,66593,355918,1688529,293258,1453604,1106875,2162796,219839,957268,118254,574279,99621,1833146,84542,367512,266049,32822,38778,51383,625107,75689,174701,621920,486237,921457,1374097,512759,77981,226873,871776,551616,-1,551616,135043,1342171,154942
0018,362718,1310,246764,550528,542204,1011080,1350810,1613067,321169,1357764,921028,2328965,323784,277669,264166,401974,272394,622,313841,1353835,601898,208842,808553,1025603,453037,1490856,415583,952532,357711,548368,187349,199112,422334,565311,1354279,109275,1119353,772624,1895786,245011,623017,270885,630804,289152,1611946,440283,184038,207039,334733,338890,407124,290856,431430,416735,287669,542763,587207,1039847,178509,433722,543846,928301,368142,-1,368142,403356,1007921,121517
